Tower of Terror, N, Y, N, Medieval, 10, Horror Water
The Iron Jaws, >1, N, N, Medieval, 7, Adrenaline
Cloister of Cruelty, N, Y, 5-6, Medieval, 5, Adrenaline Horror Water
Pony Jousts, >0.8<1.2, N, N, Medieval, 0, Kids
Mystic Fortunes, N, Y, 1, Medieval, 3, Adrenaline Horror
Crisis at Farpoint, N, Y, 4-5, Futuristic, 15, Adrenaline Kids Water
Build a Bot, N, Y, N, Futuristic, 4, Kids
LaserLock, >1.1, N, 2-6, Futuristic, 8, Adrenaline Horror
Trench Chase, <1.6, Y, N, Futuristic, 11, Adrenaline Kids
Robot Conflicts, N, Y, N, Futuristic, 0, Adrenaline Horror Kids
Rex Rampage, N, N, 2, Jurassic, 5, Adrenaline Horror Water
Pet A Saur, <1, Y, N, Jurassic, 12, Kids
SauroPods, >1, N, N, Jurassic, 2, Adrenaline Water
RaptorRaces, N, Y, 2, Jurassic, 13, Adrenaline Kids
Hatchling Ne, <1, Y, N, Jurassic, 0, Kids
High Noon, N, Y, 2, Industrial, 14, Adrenaline Kids
Hall O Mirrors, N, Y, N, Industrial, 1, Adrenaline
Steampunk Cups, N, N, 3-6, Industrial, 6, Adrenaline Horror Kids
The Pain Train, >1, Y, 2-8, Industrial, 9, Adrenaline Horror Water
The Descent, N, N, N, Industrial, 0, Adrenaline Horror Kids Water
